รหัสสัตว์น้ำ,ชนิดสัตว์น้ำ,ชื่อไทย,ชื่อท้องถิ่น,ชื่อสามัญ,ชื่อวิทยาศาสตร์,ชื่อวงศ์สัตว์น้ำ,ชื่อ/ปีที่เผยแพร่,ลักษณะชีววิทยาทั่วไป,ถิ่นที่อาศัย,สถานะภาพ,ที่มาของภาพ,ที่มาของข้อมูล,ชื่อภาพ,Path เก็บภาพ (เล็ก),Path เก็บภาพ (ใหญ่)
109, ปลา, ปลาผีเสื้อคอขาว,, Redtail butterflyfish, Chaetodon   collare, Family Chaetodontidae,"Bloch, 1787", ลำตัวแบนข้าง ป้อมสั้น รูปไข่ มีลายสีขาวพาดขวางบริเวณหลังตา หางส่วนต้นมีสีส้ม ตอนกลางมีแถบสีดำ ส่วนปลายใส อาศัยอยู่ตามแนวปะการัง ชอบอยู่รวมกันเป็นฝูง, มหาสมุทรอินเดีย ในทะเลไทยพบได้ทั่วไปในฝั่งอันดามัน, สัตว์น้ำทั่วไป, สามารถ เดชสถิตย์, ธรณ์ ธำรงนาวาสวัสดิ์. 2547. คู่มือปลาทะเลไทยเล่ม 2.,,,
110, ปลา, ปลาสิงโต, ปลาโนรา ไก่ตอ, Red lionfish, Pterois   volitans, Family Scorpaenidae,"(Linnaeus, 1758)", ลำตัวป้อม มีลายพาดขวางตัวลำตัว ครีบหลังและครีบหูมีขนาดใหญ่แผ่คล้ายขนนก, มหาสมุทรอินเดียและฝั่งตะวันตกของมหาสมุทรแปซิฟิก ในประเทศไทยพบได้ทั้งฝั่งอ่าวไทยและทะเลอันดามัน, สัตว์น้ำทั่วไป, สามารถ เดชสถิตย์, ธรณ์ ธำรงนาวาสวัสดิ์. 2547. คู่มือปลาทะเลไทยเล่ม 1.,,,
111, ปลา, ปลาดุกลำพัน, ปลาดุกลำพัน, Slender Walking Catfish, Prophagorus    nieuhofii, Family CLARIIDAE,"( Cuv.& Val., 1840)", เป็นสัตว์กินเนื้อและซากเน่าเปื่อย, พบแพร่กระจายในหมู่เกาะ Indo-Australian แถบหมู่เกาะมะละกาและฟิลิปปินส์ ในประเทศไทยพบในจังหวัดภาคใต้ฝั่งตะวันออก ได้แก่ จังหวัดพัทลุง อำเภอหลังสวน จังหวัดชุมพร และ จังหวัดนราธิวาส สำหรับแหล่งที่อยู่อาศัย ปลาชนิดนี้ชอบอาศัยในแหล่งน้ำนิ่ง มีต้นไม้ปกคลุม และพื้นดินเป็นโคลน, มีแนวโน้มใกล้สูญพันธุ์จากแหล่งน้ำธรรมชาติ, นายประดิษฐ์ เพ็ชรจรูญ, กรมประมง, 111.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/111.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=111
112, ปลา, กระเบนขาว, -, -, Himantura   signifer, Family Dasyatidae,"Compagno and Roberts, 1982", อาศัยในแม่น้ำสายหลัก นิสัยเป็นปลากินเนื้อ กินกุ้งและปู ขนาดที่พบใหญ่สุดมีความกว้างลำตัวประมาณ 40 เซนติเมตร ก, การกระจายพันธุ์ พบเป็นบริเวณกว้าง ตั้งแต่ภูมิภาคเอเซีย จนถึงเขตกาลิมันตัน ประเทศอินโดนีเซีย ในลุ่มน้ำเจ้าพระยา พบในเขตลุ่มน้ำตอนบน ในแม่น้ำยมและแม่น้ำน่าน นอกจากนี้ มีรายงานพบในแม่น้ำบางปะกง, ใกล้สูญพันธุ์,, กรมประมง, 112.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/112.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=112
113, ปลา, กระเบนแม่กลอง, กระเบนแม่กลอง, -, Himantura   kittipongi, Family Dasyatidae,"Vidthayanon and Roberts, 2005", อาศัยในแม่น้ำสายหลัก และบริเวณปากแม่น้ำ นิสัย เป็นปลากินเนื้อ กินปลา กุ้ง และปู ขนาดที่พบใหญ่สุดมีความ กว้างลำตัวประมาณ 50 เซนติเมตร, การกระจายพันธุ์ ในลุ่มแม่น้ำเจ้าพระยา พบในแม่น้ำน่าน บริเวณจังหวัดพิษณุโลก นอกจากนี้ พบในแม่น้ำแม่กลอง และมีรายงานพบในประเทศมาเลเซีย, สัตว์น้ำเฉพาะถิ่น, -, กรมประมง, 113.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/113.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=113
114, ปลา, กระเบนธง, -, -, Pastinachus   sephen, Family Dasyatidae,"Forssk?l, 1775", ปลาทะเลที่อพยพเข้ามาในแหล่งน้ำจืดได้เป็นระยะทาง ไกลๆ นิสัยเป็นปลากินเนื้อ กินปลา กุ้ง ปู และสัตว์หน้าดิน ขนาด ที่พบใหญ่สุดมีความกว้างลำตัวถึง 200 เซนติเมตร การกระจายพันธุ์ พบทั่วไปแถบทะเลชายฝั่ง และ, การกระจายพันธุ์ พบทั่วไปแถบทะเลชายฝั่ง และบริเวณ ปากแม่น้ำต่างๆ ของเขตอินโดแปซิฟิค มีรายงานพบเป็นครั้งคราว ในแม่น้ำแม่เจ้าพระยา และพบอพยพขึ้นจนถึงบริเวณจังหวัด พระนครศรีอยุธยา นอกจากนี้ พบอพยพเข้า ในทะเลสาบสงขลา ตอนใน, มีแนวโน้มใกล้สูญพันธุ์ รวมถึงรายละเอียดสถานภาพเฉพาะ, -, กรมประมง, 114.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/114.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=114
115, ปลา, สลาด, -, -, Notopterus   notopterus, Family Notopteridae,"Pallas, 1769", อาศัยในแม่น้ำ และหนองบึง อพยพไปบนพื้นที่น้ำท่วม ช่วงฤดูน้ำหลาก นิสัยเป็นปลากินทั้งพืชและสัตว์ กินพืชน้ำ กุ้ง ปู ปลาเล็ก และแมลง ขนาดที่พบใหญ่สุดมีความยาวประมาณ 30 เซนติเมตร และเป็นปลาเศรษฐกิจด้านการประมง, การกระจายพันธุ พบเป็นบริเวณกว้างในภูมิภาค เอเซีย และพบในทุกภาคของประเทศไทย ในลุ่มแม่น้ำเจ้าพระยา พบทั่วไป, สัตว์น้ำทั่วไป, -, กรมประมง, 115.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/115.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=115
116, ปลา, กราย, -, -, chitala   ornata, Family Notopteridae,"Gray, 1813", อาศัยในแม่น้ำ และหนองบึง อพยพไปบนพื้นที่น้ำท่วม ช่วงฤดูน้ำหลาก นิสัยเป็นปลากินเนื้อ กินปลา กุ้ง ปู และแมลง ขนาดที่พบใหญ่สุดมีความยาวถึง 100 เซนติเมตร จัดเป็นปลา เศรษฐกิจด้านการประมง นิยมบริโภคและเลี้ยงเป็นปลาสวยงาม, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำแม่กลองจนถึง ลุ่มแม่น้ำโขง ในลุ่มแม่น้ำเจ้าพระยา พบทั่วไป, สัตว์น้ำทั่วไป, -, กรมประมง, 116.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/116.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=116
117, ปลา, สะตือ, -, -, Chitala   lopis, Family Notopteridae,"Bleeker, 1851", อาศัยในแม่น้ำ และลำน้ำในป่า นิสัยเป็นปลากินเนื้อ กินปลาเป็นหลัก นอกจากนี้ กินแมลงและสัตว์น้ำขนาดเล็กอื่นๆ บ้าง ขนาดที่พบใหญ่สุดมีความยาว 150 เซนติเมตร, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำแม่กลองจนถึง ลุ่มแม่น้ำโขง และภาคใต้ของประเทศไทย เป็นปลาหายากใน ลุ่มแม่เจ้าพระยา พบในบึงบอระเพ็ด และแม่น้ำป่าสัก นอกจากนี้ พบในบอร์เนียว สุมาตรา และชวา ประเทศอินโดนีเซีย, มีแนวโน้มใกล้สูญพันธุ์ รวมถึงรายละเอียดสถานภาพเฉพาะ, -, กรมประมง, 117.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/117.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=117
118, ปลา, ตูหนา, -, -,  Anguilla   bicolor, Family Anguillidae,"McClelland, 1844", ปลาสองน้ำที่เจริญเติบโตในแม่น้ำ และอพยพเพื่อสืบพันธุ์ วางไข่ในทะเล นิสัยเป็นปลากินเนื้อ กินปลา และสัตว์น้ำขนาดเล็ก ขนาดที่พบใหญ่สุดมีความยาว 80 เซนติเมตร, การกระจายพันธุ์ พบมากในภาคใต้ของประเทศไทย แถบชายทะเลฝั่งอันดามัน เป็นปลาหายากในลุ่มแม่น้ำเจ้าพระยา พบอพยพขึ้นถึงบึงบอระเพ็ด นอกจากนี้ มีรายงานพบในประเทศ อินเดีย อินโดนีเซีย ฟิลิปปินส์ และเวียดนาม, สัตว์น้ำทั่วไป, -, กรมประมง, 118.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/118.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=118
119, ปลา, หางไก่, -, -, Coilia   lindmani, Family Engraulidae,"Bleeker, 1858", อาศัยในแม่น้ำ และบริเวณปากแม่น้ำ นิสัยเป็นปลากินเนื้อ กินกุ้ง ลูกปลา และแมลงน้ำ ขนาดที่พบใหญ่สุดมีความยาว 20 เซนติเมตร, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำแม่กลองจนถึง ลุ่มแม่น้ำโขง ในลุ่มแม่น้ำเจ้าพระยาพบตั้งแต่ปากแม่น้ำจนถึง บริเวณจังหวัดชัยนาท นอกจากนี้ พบในบอร์เนียว และสุมาตรา ประเทศอินโดนีเซีย, มีแนวโน้มใกล้สูญพันธุ์ รวมถึงรายละเอียดสถานภาพเฉพาะ, -, กรมประมง, 119.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/119.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=119
120, ปลา, แมวหูดำ, -, -, Setipinna   melanochir, Family Engraulidae,"Bleeker, 1849", อาศัยในแม่น้ำ และบริเวณปากแม่น้ำ นิสัยเป็นปลา กินเนื้อ กินปลา และตัวอ่อนแมลงน้ำ ขนาดที่พบใหญ่สุด มีความยาว 25 เซนติเมตร, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำแม่กลองจนถึง ลุ่มแม่น้ำโขง ในลุ่มแม่น้ำเจ้าพระยา ปกติพบตั้งแต่ปากแม่น้ำ จนถึงเขตลุ่มน้ำตอนล่าง และมีรายงานการพบบึงบอระเพ็ด นอกจากนี้ พบในบอร์เนียวและสุมาตรา ประเทศอินโดนีเซีย, มีแนวโน้มใกล้สูญพันธุ์ รวมถึงรายละเอียดสถานภาพเฉพาะ, -, กรมประมง, 120.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/120.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=120
121, ปลา, แมวเขี้ยวยาว, -, -, Lycothrissa   crocodilus, Family Engraulidae,"Bleeker, 1851", อาศัยในแม่น้ำ และบริเวณปากแม่น้ำ นิสัยเป็นปลา กินเนื้อ กินปลาขนาดเล็ก กุ้ง ปู และแมลง ขนาดที่พบใหญ่สุด มีความยาว 25 เซนติเมตร, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำแม่กลองจนถึง ลุ่มแม่น้ำโขง ในลุ่มแม่น้ำเจ้าพระยา พบตั้งแต่ปากแม่น้ำจนถึงเขต ลุ่มน้ำตอนกลาง และในบึงบอระเพ็ด นอกจากนี้ พบในสุมาตรา ประเทศอินโดนีเซีย, มีแนวโน้มใกล้สูญพันธุ์ รวมถึงรายละเอียดสถานภาพเฉพาะ, -, กรมประมง, 121.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/121.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=121
122, ปลา, ชิวแก้ว, -, -, Clupeichthys   goniognathus, Family Clupeidae,"Bleeker, 1855", อาศัยในแม่น้ำ และหนองบึง นิสัยเป็นปลากินเนื้อ กิน แพลงก์ตอนสัตว์ และแมลง ขนาดที่พบใหญ่สุดมีความยาว 5 เซนติเมตร, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำแม่กลองจนถึง ลุ่มแม่น้ำโขง ในลุ่มแม่น้ำเจ้าพระยา พบทั่วไป และพบชุกชุมตั้งแต่ เหนือเขื่อนชัยนาทจนถึงจังหวัดนครสวรรค์ และในบึงบอระเพ็ด นอกจากนี้ พบในบอร์เนียว และสุมาตรา ประเทศอินโดนีเซีย, สัตว์น้ำทั่วไป, -, กรมประมง, 122.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/122.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=122
123, ปลา, ไส้ตันหางดอก, -, -, Clupeoides   borneensis, Family Clupeidae,"Bleeker, 1851", อาศัยในแม่น้ำ และหนองบึง นิสัยเป็นปลากินเนื้อ กิน แพลงก์ตอนสัตว์ และแมลง ขนาดที่พบใหญ่สุดมีความยาว 7 เซนติเมตร, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำแม่กลองจนถึง ลุ่มแม่น้ำโขง ในลุ่มแม่น้ำเจ้าพระยาพบทั่วไป และพบชุกชุมตั้งแต่ เหนือเขื่อนชัยนาทจนถึงจังหวัดนครสวรรค์ และในบึงบอระเพ็ด นอกจากนี้ พบในบอร์เนียว และสุมาตรา ประเทศอินโดนีเซีย, สัตว์น้ำทั่วไป, -, กรมประมง, 123.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/123.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=123
124, ปลา, ซิวแก้ว, -, -, Corica   laciniata, Family Clupeidae,"Fowler, 1935", อาศัยในแม่น้ำ และหนองบึง อพยพไปบนพื้นที่น้ำท่วมช่วง ฤดูน้ำหลาก นิสัยเป็นปลากินเนื้อ กินแพลงก์ตอนสัตว์ และแมลง ขนาดที่พบใหญ่สุดมีความยาว 5 เซนติเมตร, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำแม่กลองจนถึง ลุ่มแม่น้ำโขง ในลุ่มแม่น้ำเจ้าพระยา พบทั่วไป และพบชุกชุมตั้งแต่ เหนือเขื่อนชัยนาทจนถึงจังหวัดนครสวรรค์ และในบึงบอระเพ็ด นอกจากนี้ พบในเบอร์เนียว ประเทศอินโดนีเซีย, สัตว์น้ำทั่วไป, -, กรมประมง, 124.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/124.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=124
125, ปลา, ตะลุมพุก, -, -, Tenualosa   toli, Family Clupeidae,"Valenciennes, 1847", อาศัยในทะเลแถบชายฝั่ง และบริเวณปากแม่น้ำ เป็นปลา สองน้ำที่เจริญเติบโตในทะเล และอพยพเข้ามาวางไข่ในแม่น้ำ นิสัยเป็นปลากินเนื้อ กินสัตว์หน้าดิน และแพลงก์ตอนสัตว์ ขนาด เมื่อโตเต็มที่มีความยาว 40 เซนติเมตร, การกระจายพันธุ์ พบเป็นบริเวณกว้างในภูมิภาคเอเซีย ใน แม่น้ำเจ้าพระยา มีรายงานเคยพบอพยพเข้ามาวางไข่ถึงกรุงเทพ ปัจจุบันสูญพันธุ์แล้วจากประเทศไทย และอยู่ในภาวะใกล้ สูญพันธุ์อย่างวิกฤตตามบัญชีแดงของ IUCN, สูญพันธุ์แล้ว, -, กรมประมง, 125.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/125.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=125
126, ปลา, ปลาโมง," เผาะ , โมงยาง , ยาง หรือ อ้ายด้อง ,หัวม่วม", -, Panagasius bocourti  , Family Pangasiidae,"Sauvage, 1880", ส่วนหัวกลมมน ส่วนท้องไม่มีสัน ส่วนบนของลำตัวมีสีดำปนเทา ส่วนท้องมีสีขาวอมเหลือง บริเวณโคนครีบหู มีต่อมสร้างสร้างเหมือก จำนวน 3 รู, แม่น้ำโขงและแม่น้ำเจ้าพระยา, สัตว์น้ำเฉพาะถิ่น, นางสาวอุไรวรรณ เปียสูงเนิน นักวิชาการประมง, เอกสารวิชาการ เรื่องการศึกษาชีววิทยาบางประการของปลาโมง, 126.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/126.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=126
127, ปลา, แปบควาย, -, -, Paralaubuca   harmandi, Family Cyprinidae,"Sauvage, 1883", อาศัยในแม่น้ำ อพยพไปบนพื้นที่น้ำท่วมช่วงฤดูน้ำหลาก นิสัยเป็นปลากินเนื้อ กินแพลงก์ตอนสัตว์ และแมลง ขนาดที่พบ ใหญ่สุดมีความยาว 30 เซนติเมตร, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำเจ้าพระยาจนถึง ลุ่มแม่น้ำโขง ในลุ่มแม่น้ำเจ้าพระยา พบทั่วไป, สัตว์น้ำทั่วไป, -, กรมประมง, 127.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/127.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=127
128, ปลา, ปลาหว้าหน้านอ," หว่า , ปลางา , หน้าซวง", -, Bangana behri  , Family Cyprinidae,"Fowler, 1937", ลำตัวแบนข้างและลึก หัวโต มีหนวด 2 คู่ ตัวผู้ที่โตเต็มวัยจะมีหน้าผากโหนกเห็นได้ชัด และมีตุ่มประบริเวณปากถึงหลังตา ลำตัวและครีบสีน้ำตาลอ่อนอมเถาหรือสีกากี หัวสีเหลืองทอง ท้องสีจาง ครีบหลังใหญ่ไม่มีก้าน ครีบแข็ง ครีบอก ครีบท้อง และครีบก้นยาว ครีบหางใหญ่, บริเวณที่เป็นแก่งของแม่น้ำสายหลัก, ใกล้สูญพันธุ์, www.fishesfishing.com, คู่มือปลาน้ำจืด, 128.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/128.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=128
129, ปลา, แปบ, -, -, Paralaubuca   riveroi, Family Clupeidae,"Fowler, 1935", อาศัยในแม่น้ำ อพยพไปบนพื้นที่น้ำท่วมช่วงฤดูน้ำหลาก นิสัยเป็นปลากินเนื้อ กินแพลงก์ตอนสัตว์เป็นหลัก และกินแมลง เป็นครั้งคราว ขนาดที่พบใหญ่สุดมีความยาว 15 เซนติเมตร, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำแม่กลองจนถึงลุ่ม แม่น้ำโขง และภาคใต้ของประเทศไทย ในลุ่มแม่น้ำเจ้าพระยา พบทั่วไป นอกจากนี้ พบในประเทศมาเลเซีย, สัตว์น้ำทั่วไป, -, กรมประมง, 129.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/129.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=129
130, ปลา, แปบควาย, -, -, Paralaubuca    typus, Family Cyprinidae,"Bleeker, 1864", อาศัยในแม่น้ำ และหนองบึง อพยพไปบนพื้นที่น้ำท่วมช่วงฤดูน้ำหลาก มักพบอยู่รวมกันเป็นฝูงใหญ่ นิสัย เป็นปลากินเนื้อ กินแพลงก์ตอนสัตว์เป็นหลัก และกินแมลง เป็นครั้งคราว ขนาดที่พบใหญ่ที่สุดมีความยาว 18 เซนติเมตร, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำแม่กลองจนถึง ลุ่มแม่น้ำโขง ในลุ่มแม่น้ำเจ้าพระยา พบทั่วไป, สัตว์น้ำทั่วไป, -, กรมประมง, 130.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/130.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=130
131, ปลา, ซิวอ้าว, -, -, Luciosoma   bleekeri, Family Cyprinidae,"Steindachner, 1878", อาศัยในแม่น้ำ และหนองบึง อพยพไปบนพื้นที่น้ำท่วมช่วงฤดูน้ำหลาก นิสัยเป็นปลากินเนื้อ กินปลา กุ้ง ปู และแมลง ขนาดที่พบใหญ่สุดมีความยาว 30 เซนติเมตร, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำเจ้าพระยาจนถึง ลุ่มแม่น้ำโขง ในลุ่มแม่น้ำเจ้าพระยา พบทั่วไป และพบชุกชุม ตั้งแต่จังหวัดนครสวรรค์ลงมาจนถึงพระนครศรีอยุธยา, สัตว์น้ำทั่วไป, -, กรมประมง, 131.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/131.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=131
132, ปลา, น้ำหมึก, -, -, Opsarius    koratensis,,"Smith, 1931", อาศัยในแม่น้ำ และลำธาร โดยพบได้ตั้งแต่ลำธารบริเวณ เชิงเขาจนถึงเขตที่สูง อพยพไปบนพื้นที่น้ำท่วมช่วงฤดูน้ำหลาก นิสัยเป็นปลากินเนื้อ กินตัวอ่อนแมลง ขนาดที่พบใหญ่สุด มีความยาว 8 เซนติเมตร,  การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำเจ้าพระยาจนถึง ลุ่มแม่น้ำโขง ในลุ่มแม่น้ำเจ้าพระยา พบในเขตลุ่มน้ำตอนบน ตั้งแต่ลุ่มแม่น้ำปิงจนถึงลุ่มแม่น้ำน่าน, สัตว์น้ำทั่วไป, -, กรมประมง, 132.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/132.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=132
133, ปลา, น้ำหมึก, -, -, Opsarius   pulchellus, Family Cyprinidae,"Smith, 1931", อาศัยในลำธารในเขตพื้นที่่สูง นิสัยเป็นปลากินเนื้อ กินตัวอ่อนแมลง และลูกปลา ขนาดที่พบใหญ่สุดมีความยาว 11 เซนติเมตร,  การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำเจ้าพระยาจนถึง ลุ่มแม่น้ำโขง ในลุ่มแม่น้ำเจ้าพระยา พบในเขตลุ่มน้ำตอนบน ตั้งแต่ลุ่มแม่น้ำปิงจนถึงลุ่มแม่น้ำน่าน, สัตว์น้ำทั่วไป, -, กรมประมง, 133.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/133.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=133
134, ปลา, แปบ, -, -, Oxygaster    pointoni,,"Fowler, 1934", อาศัยในแม่น้ำ และหนองบึง นิสัยเป็นปลากินเนื้อ กิน แพลงก์ตอนสัตว์ หอย สัตว์หน้าดิน และแมลง ขนาดที่พบ ใหญ่สุดมีความยาว 18 เซนติเมตร,  การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำเจ้าพระยาจนถึงลุ่ม แม่น้ำโขง ในลุ่มแม่น้ำเจ้าพระยา พบบริเวณจังหวัดนครสวรรค์ และในบึงบอระเพ็ด, สัตว์น้ำทั่วไป, -, กรมประมง, 134.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/134.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=134
135, ปลา, แปบหางดอก, -, -, Parachela   maculicauda, Family Cyprinidae,"Smith, 1934", อาศัยในแม่น้ำ และหนองบึง นิสัยเป็นปลากินเนื้อ กิน แพลงก์ตอนสัตว์ และแมลง ขนาดที่พบใหญ่สุดมีความยาว 6 เซนติเมตร, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำเจ้าพระยาจนถึง ลุ่มแม่น้ำโขง และภาคใต้ของประเทศไทย ในลุ่มแม่น้ำเจ้าพระยา พบทั่วไป ตั้งแต่เขตลุ่มน้ำตอนกลางลงมาจนถึงลุ่มน้ำตอนล่าง และในบึงบอระเพ็ด, สัตว์น้ำทั่วไป, -, กรมประมง, 135.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/135.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=135
136, ปลา, แปบ, -, -, Parachela    siamensis, Family Cyprinidae,"G?nther, 1868", อาศัยในแม่น้ำ และหนองบึง มักพบว่ายน้ำใกล้ผิวน้ำ อพยพไปบนพื้นที่น้ำท่วมช่วงฤดูน้ำหลาก นิสัยเป็นปลากินเนื้อ กินแพลงก์ตอนสัตว์ และแมลง ขนาดที่พบใหญ่สุดมีความยาว 8 เซนติเมตร,  การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำเจ้าพระยาจนถึง ลุ่มแม่น้ำโขง และภาคใต้ของประเทศไทย ในลุ่มแม่น้ำเจ้าพระยา พบทั่วไป ตั้งแต่เขตลุ่มน้ำตอนกลางลงมาจนถึงลุ่มน้ำตอนล่าง และในบึงบอระเพ็ด, สัตว์น้ำทั่วไป, -, กรมประมง, 136.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/136.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=136
137, ปลา, ฝักพร้า, -, -, Macrochirichthys    macrochirus, Family Cyprinidae,"Valenciennes, 1844", อาศัยในแม่น้ำและหนองบึง อพยพไปบนพื้นที่น้ำท่วมช่วงฤดูน้ำหลาก นิสัยเป็นปลากินเนื้อ ปลาเมื่อโตเต็มวัยกินปลา เป็นหลัก ลูกปลาวัยอ่อนกินแมลง ขนาดที่พบใหญ่สุดมีความยาว 45 เซนติเมตร, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำเจ้าพระยาจนถึงลุ่มแม่น้ำโขง และภาคใต้ของประเทศไทย ปัจจุบันหายาก ในลุ่มแม่น้ำเจ้าพระยา และพบในเขตลุ่มน้ำตอนบน, ใกล้สูญพันธุ์, -, กรมประมง, 137.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/137.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=137
138, ปลา, นางอ้าว, -, -, Raiamas   guttatus, Family Cyprinidae,"Day, 1870", อาศัยในแม่น้ำ หนองบึง และพบบ้างบนพื้นที่น้ำท่วม นิสัยเป็นปลากินเนื้อ กินปลา และแมลง ขนาดที่พบใหญ่สุด มีความยาว 45 เซนติเมตร เป็นปลาเศรษฐกิจ นิยมเลี้ยงเป็น ปลาสวยงาม, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำสาละวินจนถึง ลุ่มแม่น้ำโขง ในลุ่มแม่น้ำเจ้าพระยา พบในเขตลุ่มน้ำตอนบน ตั้งแต่ ลุ่มแม่น้ำปิงจนถึงลุ่มแม่น้ำน่าน นอกจากนี้ พบในลุ่มแม่น้ำตาปี ในภาคใต้ของประเทศไทย, สัตว์น้ำทั่วไป, -, กรมประมง, 138.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/138.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=138
139, ปลา, ซิวเจ้าฟ้า, -, -, Amblypharyngodon   chulabhornae, Family Cyprinidae,"Vidthayanon and Kottelat, 1990", อาศัยในหนองบึง นา และที่ลุ่มน้ำขังที่มีพรรณพืชน้ำขึ้น นิสัยเป็นปลากินเนื้อ กินแพลงก์ตอนสัตว์และตัวอ่อนแมลง ขนาดที่พบใหญ่สุดมีความยาว 5 เซนติเมตร การตั้งชื่อได้มาจาก พระนามพระราชทานของสมเด็จพระเจ้าลูกเธอเจ้าฟ้าจุฬาภรณ์วลัยลักษณ์ ราชกุมารี, การกระจายพันธุ์ พบตั้งแต่ลุ่มแม่น้ำแม่กลองจนถึง ลุ่มแม่น้ำโขง และภาคใต้ของประเทศไทย ในลุ่มแม่น้ำเจ้าพระยา พบทั่วไป, สัตว์น้ำทั่วไป, -, กรมประมง, 139.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/139.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=139
